01;30;10;Luisiana;24;1000
01;31;11;Indigo;14;1850
01;32;12;Pelon;9;1950
01;30;13;Maximo;14;2500
02;40;20;Rojitos;4;745
02;41;21;Blanquitos;3;950
02;42;22;Banjo;6;1050
02;43;23;Sabemas;12;450
02;42;24;Verdecitos;4;950
03;50;30;Rosax;8;850
03;51;31;Flox;3;1400
03;52;32;SalSol;10;350
03;53;33;MariMar;7;850
03;51;34;Himalaya;3;1950
04;60;40;Glassy;10;750
04;61;41;Gruh;3;950
04;60;42;Pany;6;1200
05;70;50;Cedex;7;850
05;71;51;Cielo;9;750
05;72;52;Max;13;950
05;73;53;Fabuloso;5;1400
05;74;54;Orgax;1;2500
05;74;55;Biodex;3;1850
11;80;60;Arranca;14;2650
11;81;61;Killer;12;2400
12;90;70;Suavitel;5;1850
12;91;71;Cariños;8;2050
13;100;80;Cedal;4;3600
13;101;81;Risitos;6;3250
13;101;82;Enrredados;9;1450
13;103;80;Pantene;14;1950
13;104;83;Basic;10;1450
13;102;84;Colorful;3;3250
21;110;90;Legs;14;14000
21;111;91;Long;12;13000
22;120;101;Loves;2;8500
22;121;102;Life;5;9000
22;122;103;Denix;8;7300
22;123;104;Cozy;6;18000
23;130;201;Navidad;4;550
23;131;202;Brujas;14;350
23;132;203;Fiesta;21;450
25;140;300;Escuela;12;750
25;141;301;Manualidades;10;850
25;142;302;Costura;4;1500
25;141;303;Pinturas;15;950
